id,city,area,property_type,bedrooms,bathrooms,nightly_price_usd,review_score,occupancy_rate,distance_to_beach_km,distance_to_airport_km,num_reviews,amenities,annual_revenue_usd,property_price_usd,roi_pct,investment_score,latitude,longitude
DXB0001,Dubai,JVC,Apartment,2,1,173,4.94,0.79,4.8,9.7,21,Parking|Gym|Kitchen|AC|WiFi,35917,402632,8.92,100,24.7349,55.4197
DXB0002,Dubai,Dubai Marina,Apartment,1,1,232,4.65,0.46,7.8,11.4,234,Doorman|Pool|WiFi|Washer|Balcony|AC|Sea View|Kitchen,28046,385539,7.27,83,24.8091,55.01
DXB0003,Dubai,DIFC,Studio,0,1,136,4.43,0.65,2.4,9.2,199,Washer|AC|Parking|Gym|Sea View|Pool|Kitchen,23232,300145,7.74,88,24.8753,55.1198
DXB0004,Dubai,JVC,Studio,2,3,118,4.74,0.54,4.2,6.4,155,Pool|Sea View|Gym|WiFi|Doorman|AC,16746,215128,7.78,88,25.0645,55.0023
DXB0005,Dubai,DIFC,Studio,4,3,250,4.94,0.9,6.5,7.9,124,Pool|WiFi|AC|Doorman,59130,695801,8.5,100,25.1105,55.1641
DXB0006,Dubai,JVC,Penthouse,2,2,532,4.39,0.47,7.3,24.9,364,Parking|Washer|Kitchen|Gym|Sea View|Doorman,65711,761947,8.62,88,24.887,55.212
DXB0007,Dubai,JVC,Townhouse,1,2,254,4.02,0.91,6.2,31.8,357,Parking|Sea View|Balcony|Doorman|Washer,60744,859413,7.07,86,25.0587,55.4531
DXB0008,Dubai,Deira,Villa,2,1,296,4.04,0.47,2.7,13.1,113,Pool|Washer|Balcony|Parking|Doorman,36561,441750,8.28,84,25.1972,55.1141
DXB0009,Dubai,DIFC,Studio,1,2,168,4.45,0.52,6.4,34.6,387,Balcony|Sea View|Parking|Kitchen|Gym|Washer|Doorman,22958,250347,9.17,92,25.1633,55.0192
DXB0010,Dubai,DIFC,Penthouse,4,4,1226,4.78,0.78,5.9,7.2,83,WiFi|Parking|Sea View|Pool|Balcony|Washer,251310,3397024,7.4,91,24.9151,54.9695
DXB0011,Dubai,Palm Jumeirah,Penthouse,4,3,1952,4.55,0.61,0.6,14.8,398,Balcony|Sea View|AC|Kitchen|Pool|Washer|Parking,312921,3689709,8.48,94,25.1378,55.2825
DXB0012,Dubai,JBR,Apartment,2,2,281,4.37,0.51,5.7,21.8,264,Sea View|Pool|AC|Doorman|Gym,37662,507606,7.42,83,25.1626,55.1963
DXB0013,Dubai,JVC,Studio,4,5,161,4.31,0.46,1.0,24.1,5,Parking|Washer|Doorman|AC|Balcony,19463,209088,9.31,92,24.8886,55.2051
DXB0014,Dubai,DIFC,Studio,3,2,283,4.1,0.64,6.1,7.3,128,Washer|AC|WiFi|Pool,47598,546568,8.71,89,24.8739,54.9967
DXB0015,Dubai,DIFC,Apartment,0,1,244,4.77,0.75,7.0,10.6,140,Gym|Kitchen|Parking|Doorman|Washer|WiFi|Balcony,48092,655916,7.33,90,25.2355,55.2236
DXB0016,Dubai,Deira,Townhouse,3,2,287,4.88,0.6,1.0,17.8,236,WiFi|AC|Balcony|Washer|Sea View|Parking|Doorman|Kitchen,45254,519505,8.71,97,25.1908,55.4164
DXB0017,Dubai,JVC,Villa,1,1,320,4.41,0.65,1.9,15.1,41,Pool|Kitchen|WiFi|AC|Gym|Doorman,54662,605354,9.03,94,25.2657,55.0939
DXB0018,Dubai,Dubai Marina,Villa,0,1,453,4.64,0.62,7.8,12.6,114,Gym|Kitchen|WiFi|Parking|Washer|Sea View,73810,1050625,7.03,85,24.9983,55.0805
DXB0019,Dubai,Deira,Villa,4,5,421,3.84,0.74,4.1,13.4,186,WiFi|Sea View|Balcony|Gym|Pool|Washer|Doorman,81873,885706,9.24,92,25.245,55.0437
DXB0020,Dubai,Dubai Hills,Penthouse,3,4,751,4.39,0.91,2.0,27.8,178,Gym|Pool|Balcony|Washer,179600,2360933,7.61,92,24.8426,55.3369
DXB0021,Dubai,JVC,Villa,1,1,360,4.56,0.75,4.3,30.1,231,Sea View|Parking|Balcony|Gym|Kitchen|WiFi|Doorman|Pool,70956,777932,9.12,98,24.8925,55.0119
DXB0022,Dubai,Deira,Apartment,0,1,78,4.51,0.77,0.2,11.8,210,Pool|Gym|WiFi|Kitchen|Sea View|Washer|AC|Doorman,15784,198016,7.97,100,25.0871,55.0046
DXB0023,Dubai,Dubai Marina,Villa,3,2,833,4.26,0.89,1.2,8.4,84,AC|Sea View|Doorman|WiFi|Washer|Kitchen|Balcony,194832,2319280,8.4,96,25.2548,55.4264
DXB0024,Dubai,Downtown Dubai,Studio,1,1,158,4.59,0.83,4.5,12.3,276,Kitchen|Pool|Washer|Doorman|Balcony|AC|WiFi|Parking,34464,434632,7.93,93,24.7559,55.4383
DXB0025,Dubai,Palm Jumeirah,Apartment,4,3,591,4.56,0.61,2.9,31.9,296,Gym|Doorman|WiFi|Sea View|Pool,94742,1264553,7.49,87,25.2323,55.3679
